,ts_code,name,count,exchange,list_date,type
0,885835.TI,参股银行,126.0,A,20190416,N
1,875189.TI,抗疫,10.0,HK,20200622,N
2,875004.TI,智能医疗,6.0,HK,20180108,N
3,875026.TI,双十一,10.0,HK,20180108,N
4,885472.TI,上海自贸区,51.0,A,20130813,N
5,865009.TI,现代服务业,36.0,US,20180108,N
6,885788.TI,网络直播,63.0,A,20180312,N
7,885881.TI,云办公,29.0,A,20200203,N
8,865071.TI,流媒体,6.0,US,20180108,N
9,865055.TI,互联网+,12.0,US,20180108,N
10,865032.TI,天然气,24.0,US,20180108,N
11,865058.TI,油气装备,18.0,US,20180108,N
12,875087.TI,芯片替代,21.0,HK,20180108,N
13,875051.TI,零售股,9.0,HK,20180108,N
14,885785.TI,小米概念,91.0,A,20180306,N
15,875131.TI,乳业,10.0,HK,20180108,N
16,885878.TI,HIT电池,21.0,A,20200120,N
17,885403.TI,生物医药,146.0,A,20130422,N
18,885545.TI,汽车电子,108.0,A,20140507,N
19,865025.TI,固废处理,5.0,US,20180108,N
20,865116.TI,MCU,4.0,US,,N
21,875120.TI,农业现代化,35.0,HK,20180108,N
22,865064.TI,人工智能,24.0,US,20180108,N
23,875193.TI,同股不同权,3.0,HK,20200622,N
24,885856.TI,仿制药一致性评价,52.0,A,20190625,N
25,865023.TI,乳业,4.0,US,20180108,N
26,875136.TI,文化传媒,57.0,HK,20180108,N
27,875090.TI,内地房地产,138.0,HK,20180108,N
28,885900.TI,NMN概念,16.0,A,20200716,N
29,885869.TI,年报预增,588.0,A,20191115,N
30,875114.TI,风电,10.0,HK,20180108,N
31,865065.TI,人脸识别,5.0,US,20180108,N
32,865057.TI,太阳能,12.0,US,20180108,N
33,885769.TI,细胞免疫治疗,26.0,A,20171117,N
34,885873.TI,分拆上市意愿,60.0,A,20191216,N
35,885803.TI,高送转预期,126.0,A,20181112,N
36,875037.TI,节能照明,3.0,HK,20180108,N
37,865100.TI,P2P,3.0,US,20180108,N
38,885697.TI,深圳国资改革,27.0,A,20150911,N
39,875113.TI,天然气,56.0,HK,20180108,N
40,885591.TI,中韩自贸区,15.0,A,20140714,N
41,885782.TI,水泥,32.0,A,20180109,N
42,885874.TI,云游戏,20.0,A,20191216,N
43,875095.TI,粤港澳,22.0,HK,20180108,N
44,885734.TI,广东自贸区,12.0,A,20160310,N
45,885756.TI,芯片概念,267.0,A,20170718,N
46,875031.TI,虚拟现实,7.0,HK,20180108,N
47,865016.TI,农业现代化,7.0,US,20180108,N
48,865038.TI,光纤,10.0,US,20180108,N
49,885770.TI,智能物流,52.0,A,20171117,N
50,875098.TI,稀土永磁,6.0,HK,20180108,N
51,885866.TI,数字货币,44.0,A,20190918,N
52,875040.TI,人工智能,23.0,HK,20180108,N
53,885642.TI,跨境电商,80.0,A,20150511,N
54,885916.TI,同花顺漂亮100,100.0,A,20210120,N
55,885757.TI,区块链,242.0,A,20170803,N
56,875162.TI,两会概念,4.0,HK,,N
57,865046.TI,餐饮连锁,10.0,US,20180108,N
58,885741.TI,中字头股票,46.0,A,20161205,N
59,875158.TI,抗癌概念,11.0,HK,,N
60,885640.TI,草甘膦,13.0,A,20150511,N
61,885795.TI,国产航母,35.0,A,20180514,N
62,875142.TI,二胎,13.0,HK,20180108,N
63,865108.TI,软件外包,11.0,US,20180108,N
64,865092.TI,稀有金属,5.0,US,20180108,N
65,875015.TI,中信系,6.0,HK,20180108,N
66,875076.TI,互联网金融,10.0,HK,20180108,N
67,875107.TI,猪肉,4.0,HK,20180108,N
68,885521.TI,粤港澳大湾区,89.0,A,20140414,N
69,885851.TI,烟草,20.0,A,20190617,N
70,875018.TI,移动支付,14.0,HK,20180108,N
71,865074.TI,文化传媒,11.0,US,20180108,N
72,885789.TI,宁德时代概念,100.0,A,20180314,N
73,875155.TI,创新药,12.0,HK,,N
74,885555.TI,PM2.5,31.0,A,20140513,N
75,885889.TI,RCS富媒体通信,28.0,A,20200408,N
76,875132.TI,物业投资,107.0,HK,20180108,N
77,875061.TI,中资券商股,22.0,HK,20180108,N
78,885338.TI,融资融券,1921.0,A,20100517,N
79,875150.TI,富士康概念,5.0,HK,,N
80,885615.TI,体育产业,60.0,A,20141024,N
81,875079.TI,手机游戏,25.0,HK,20180108,N
82,885586.TI,职业教育,53.0,A,20140630,N
83,885433.TI,节能照明,75.0,A,20130509,N
84,885623.TI,参股保险,88.0,A,20141204,N
85,885879.TI,流感,60.0,A,20200121,N
86,875106.TI,物流,42.0,HK,20180108,N
87,865111.TI,CDR概念,5.0,US,,N
88,885901.TI,可降解塑料,47.0,A,20200805,N
89,875054.TI,大数据,5.0,HK,20180108,N
90,885895.TI,室外经济,25.0,A,20200603,N
91,885831.TI,超级真菌,21.0,A,20190411,N
92,865112.TI,贸易战受益股,6.0,US,,N
93,885736.TI,无人驾驶,76.0,A,20160318,N
94,875157.TI,通讯传输设备,5.0,HK,,N
95,865027.TI,特朗普税改,10.0,US,20180108,N
96,875086.TI,网络安全,6.0,HK,20180108,N
97,885842.TI,数字乡村,24.0,A,20190517,N
98,865084.TI,移动互联网,15.0,US,20180108,N
99,875062.TI,重型机械股,8.0,HK,20180108,N
100,865029.TI,在线旅游,5.0,US,20180108,N
101,885431.TI,新能源汽车,409.0,A,20130509,N
102,885840.TI,人民币贬值受益,129.0,A,20190513,N
103,865010.TI,基因测序,6.0,US,20180108,N
104,885652.TI,钛白粉,13.0,A,20150511,N
105,865103.TI,婴幼儿产品,5.0,US,20180108,N
106,865042.TI,OLED,4.0,US,20180108,N
107,885362.TI,云计算,167.0,A,20110701,N
108,865085.TI,BIT概念,8.0,US,20180108,N
109,885705.TI,乡村振兴,111.0,A,20151104,N
110,885827.TI,横琴新区,49.0,A,20190402,N
111,865067.TI,内地房地产,5.0,US,20180108,N
112,885478.TI,智能家居,98.0,A,20130902,N
113,875152.TI,工业废水处理,6.0,HK,,N
114,885650.TI,碳纤维,20.0,A,20150511,N
115,865118.TI,直播概念股,9.0,US,,N
116,865026.TI,抗癌医药,19.0,US,20180108,N
117,875017.TI,新能源汽车,17.0,HK,20180108,N
118,885845.TI,生物疫苗,46.0,A,20190527,N
119,885886.TI,超级电容,26.0,A,20200224,N
120,865004.TI,苹果概念股,26.0,US,20180108,N
121,875007.TI,建材水泥股,6.0,HK,20180108,N
122,885456.TI,互联网金融,139.0,A,20130627,N
123,875001.TI,医疗器械,16.0,HK,20180108,N
124,885809.TI,柔性屏,71.0,A,20190219,N
125,885709.TI,虚拟现实,124.0,A,20151112,N
126,875138.TI,节能环保,61.0,HK,20180108,N
127,885568.TI,国产软件,143.0,A,20140521,N
128,865005.TI,风电,5.0,US,20180108,N
129,875082.TI,锂电池,8.0,HK,20180108,N
130,865073.TI,科技股,19.0,US,,N
131,885311.TI,智能电网,126.0,A,20070808,N
132,885633.TI,染料,14.0,A,20150123,N
133,865051.TI,网络安全,6.0,US,20180108,N
134,885647.TI,互联网彩票,16.0,A,20150511,N
135,885439.TI,土地流转,42.0,A,20130513,N
136,885814.TI,信托概念,26.0,A,20190228,N
137,885844.TI,国产操作系统,50.0,A,20190522,N
138,885452.TI,大数据,204.0,A,20130520,N
139,875116.TI,现代服务业,134.0,HK,20180108,N
140,875053.TI,光伏太阳能,10.0,HK,20180108,N
141,865090.TI,光伏概念,9.0,US,20180108,N
142,885730.TI,量子科技,38.0,A,20160229,N
143,885454.TI,智能穿戴,72.0,A,20130606,N
144,885500.TI,通用航空,31.0,A,20131121,N
145,885787.TI,独角兽概念,179.0,A,20180306,N
146,885852.TI,青蒿素,11.0,A,20190618,N
147,875072.TI,长和系,11.0,HK,20180108,N
148,865037.TI,纳米,13.0,US,20180108,N
149,875060.TI,蓝筹地产股,5.0,HK,20180108,N
150,885806.TI,华为概念,412.0,A,20181207,N
151,885743.TI,军民融合,133.0,A,20170324,N
152,875100.TI,网络游戏,22.0,HK,20180108,N
153,875049.TI,内银股,29.0,HK,20180108,N
154,885662.TI,车联网,78.0,A,20150812,N
155,885744.TI,雄安新区,177.0,A,20170405,N
156,865031.TI,页岩油,13.0,US,20180108,N
157,885823.TI,氢能源,85.0,A,20190319,N
158,885728.TI,人工智能,160.0,A,20151202,N
159,875102.TI,博彩概念,29.0,HK,20180108,N
160,865098.TI,健康产业,24.0,US,20180108,N
161,885562.TI,高铁,68.0,A,20140515,N
162,875068.TI,华润系,5.0,HK,20180108,N
163,865040.TI,智慧城市,10.0,US,20180108,N
164,875188.TI,生物医药B类,8.0,HK,20200622,N
165,885560.TI,金改,56.0,A,20140515,N
166,875141.TI,区块链概念,13.0,HK,20180108,N
167,885854.TI,垃圾分类,88.0,A,20190621,N
168,875034.TI,石油股,6.0,HK,20180108,N
169,875108.TI,汽车制造,31.0,HK,20180108,N
170,885493.TI,上海国资改革,67.0,A,20131025,N
171,885800.TI,消费电子,93.0,A,20180830,N
172,865048.TI,数字音乐,5.0,US,20180108,N
173,885750.TI,特色小镇,30.0,A,20170623,N
174,865015.TI,搜索引擎,6.0,US,20180108,N
175,885398.TI,煤化工,74.0,A,20130422,N
176,875159.TI,工业互联网,8.0,HK,,N
177,885796.TI,送转填权,5.0,A,20180522,N
178,865076.TI,医疗器械,12.0,US,20180108,N
179,865097.TI,品牌服饰,11.0,US,20180108,N
180,885918.TI,快手概念,21.0,A,20210126,N
181,885462.TI,乳业,30.0,A,20130725,N
182,875033.TI,国企改革,160.0,HK,20180108,N
183,865061.TI,生物疫苗,6.0,US,20180108,N
184,875129.TI,餐饮连锁,14.0,HK,20180108,N
185,875182.TI,租赁,6.0,HK,20200619,N
186,885556.TI,5G,262.0,A,20140513,N
187,885860.TI,中船系,9.0,A,20190703,N
188,885868.TI,无线耳机,77.0,A,20191105,N
189,885345.TI,新疆振兴,37.0,A,20100927,N
190,885802.TI,壳资源,88.0,A,20181024,N
191,885915.TI,物业管理,19.0,A,20210108,N
192,885816.TI,超清视频,88.0,A,20190305,N
193,875110.TI,黄金,8.0,HK,20180108,N
194,883303.TI,上证380成份股,380.0,A,20150922,N
195,865123.TI,平台经济,7.0,US,20201112,N
196,875080.TI,电子竞技,6.0,HK,20180108,N
197,885629.TI,农村电商,37.0,A,20141224,N
198,883302.TI,上证180成份股,180.0,A,20150922,N
199,885797.TI,百度概念,44.0,A,20180612,N
200,875112.TI,财产管理,84.0,HK,20180108,N
201,885641.TI,风电,111.0,A,20150511,N
202,865086.TI,指纹技术,4.0,US,20180108,N
203,885537.TI,3D打印,52.0,A,20140425,N
204,865062.TI,军工,25.0,US,20180108,N
205,885738.TI,OLED,117.0,A,20160505,N
206,885580.TI,足球概念,23.0,A,20140606,N
207,885829.TI,丙烯酸,4.0,A,20190409,N
208,885572.TI,水利,45.0,A,20140522,N
209,885508.TI,禽流感,30.0,A,20131224,N
210,885539.TI,医疗器械概念,182.0,A,20140428,N
211,885729.TI,参股新三板,153.0,A,20151229,N
212,875056.TI,铁矿石,5.0,HK,20180108,N
213,875190.TI,华为概念,9.0,HK,20200622,N
214,885570.TI,期货概念,67.0,A,20140521,N
215,885595.TI,央企国资改革,312.0,A,20140717,N
216,875195.TI,啤酒概念,5.0,HK,20200703,N
217,885810.TI,大豆,4.0,A,20190220,N
218,883304.TI,中证500成份股,500.0,A,20150916,N
219,885838.TI,眼科医疗,29.0,A,20190426,N
220,875088.TI,教育服务,25.0,HK,20180108,N
221,865012.TI,汽车制造,19.0,US,20180108,N
222,885733.TI,航运概念,21.0,A,20160310,N
223,885376.TI,苹果概念,96.0,A,20120903,N
224,865007.TI,锂电池,5.0,US,20180108,N
225,885428.TI,特钢概念,16.0,A,20130509,N
226,875144.TI,CAR-T,7.0,HK,,N
227,875118.TI,新材料,14.0,HK,20180108,N
228,885611.TI,阿里巴巴概念,93.0,A,20140930,N
229,885882.TI,消毒剂,44.0,A,20200206,N
230,875137.TI,软件外包,24.0,HK,20180108,N
231,865001.TI,水利,7.0,US,20180108,N
232,885692.TI,地下管网,35.0,A,20150828,N
233,875003.TI,智能物流,5.0,HK,20180108,N
234,885888.TI,C2M概念,34.0,A,20200330,N
235,885701.TI,杭州亚运会,13.0,A,20150916,N
236,885520.TI,沪股通,587.0,A,20140414,N
237,875139.TI,电子信息,85.0,HK,20180108,N
238,885480.TI,在线教育,95.0,A,20130902,N
239,885875.TI,MiniLED,42.0,A,20191217,N
240,885710.TI,锂电池,234.0,A,20151113,N
241,875083.TI,人民币升值,7.0,HK,20180108,N
242,865053.TI,半导体,31.0,US,20180108,N
243,865063.TI,5G,11.0,US,20180108,N
244,875069.TI,台资企业,33.0,HK,20180108,N
245,885312.TI,物联网,227.0,A,20090925,N
246,875122.TI,电子商务,18.0,HK,20180108,N
247,885551.TI,氟化工,18.0,A,20140513,N
248,885880.TI,口罩,153.0,A,20200121,N
249,875094.TI,LED,10.0,HK,20180108,N
250,865072.TI,特朗普概念,20.0,US,20180108,N
251,865060.TI,智能穿戴,3.0,US,20180108,N
252,885885.TI,氮化镓,33.0,A,20200221,N
253,885423.TI,安防,76.0,A,20130509,N
254,875020.TI,在线旅游,6.0,HK,20180108,N
255,875091.TI,内险股,10.0,HK,20180108,N
256,885694.TI,深股通,885.0,A,20150911,N
257,875052.TI,物联网,7.0,HK,20180108,N
258,865049.TI,AR概念股,6.0,US,20180108,N
259,875115.TI,太阳能,16.0,HK,20180108,N
260,885502.TI,冷链物流,68.0,A,20131205,N
261,885811.TI,玉米,16.0,A,20190220,N
262,875039.TI,雄安概念股,7.0,HK,20180108,N
263,875089.TI,纸业股,5.0,HK,20180108,N
264,885420.TI,电子商务,220.0,A,20130509,N
265,885781.TI,石墨电极,11.0,A,20180108,N
266,875161.TI,创投概念,8.0,HK,,N
267,885839.TI,人造肉,15.0,A,20190508,N
268,885884.TI,航空发动机,34.0,A,20200219,N
269,865017.TI,量子通信,5.0,US,20180108,N
270,885820.TI,数字孪生,19.0,A,20190313,N
271,885892.TI,REITs,18.0,A,20200507,N
272,885775.TI,燃料电池,125.0,A,20171128,N
273,865068.TI,国企改革,5.0,US,20180108,N
274,885530.TI,黄金概念,54.0,A,20140421,N
275,885783.TI,工业互联网,124.0,A,20180226,N
276,885544.TI,新材料概念,214.0,A,20140506,N
277,875013.TI,高校,8.0,HK,20180108,N
278,885891.TI,新三板精选层概念,17.0,A,20200428,N
279,885805.TI,芬太尼,6.0,A,20181204,N
280,885457.TI,手机游戏,60.0,A,20130701,N
281,885402.TI,智能医疗,50.0,A,20130422,N
282,885867.TI,标普道琼斯A股,1096.0,A,20190923,N
283,865002.TI,无人驾驶,7.0,US,20180108,N
284,885490.TI,民营医院,50.0,A,20131021,N
285,885413.TI,创投,271.0,A,20130508,N
286,875128.TI,健康产业,51.0,HK,20180108,N
287,875124.TI,建筑节能,5.0,HK,20180108,N
288,875093.TI,安防,5.0,HK,20180108,N
289,885808.TI,养鸡,14.0,A,20190212,N
290,885774.TI,无线充电,32.0,A,20171127,N
291,865033.TI,CAR-T,5.0,US,20180108,N
292,883300.TI,沪深300样本股,300.0,A,20100413,N
293,885703.TI,健康中国,90.0,A,20151028,N
294,885784.TI,新零售,120.0,A,20180228,N
295,885798.TI,燃料乙醇,5.0,A,20180612,N
296,885514.TI,京津冀一体化,55.0,A,20140404,N
297,875022.TI,高铁,8.0,HK,20180108,N
298,885792.TI,赛马概念,12.0,A,20180416,N
299,875125.TI,涉矿,26.0,HK,20180108,N
300,875030.TI,军工股,10.0,HK,20180108,N
301,865075.TI,网络视频,6.0,US,20180108,N
302,865070.TI,枪械制造,3.0,US,20180108,N
303,885766.TI,智能交通,61.0,A,20171117,N
304,885779.TI,腾讯概念,100.0,A,20171218,N
305,885619.TI,工业4.0,173.0,A,20141126,N
306,865080.TI,明星股,96.0,US,20180108,N
307,885517.TI,机器人概念,173.0,A,20140410,N
308,875123.TI,品牌服饰,62.0,HK,20180108,N
309,885748.TI,可燃冰,15.0,A,20170623,N
310,875099.TI,工业4.0,7.0,HK,20180108,N
311,865059.TI,信用支付,6.0,US,20180108,N
312,865081.TI,O2O,7.0,US,20180108,N
313,885791.TI,知识产权保护,38.0,A,20180411,N
314,885333.TI,移动支付,66.0,A,20100329,N
315,865078.TI,云计算,9.0,US,20180108,N
